# Generated high-coverage adjacent 4-pack patterns.
# Do not hand-edit unless you intend to freeze a modified grid.
# Format: PAIR id width height row group0 mask0 mask1
#         TRIPLE id width height row group0 mask0 mask1 mask2
# Masks are 0..15 (bit3=pos0 ... bit0=pos3). Width is always a multiple of 4.
#
# Placement:
#   pair_L  groups 0-1 on W=16 (left edge)
#   pair_M  groups 1-2 on W=16 (has empty neighbors)
#   pair_R  groups 2-3 on W=16 (right edge)
#   triple  groups 0-1-2 on W=12

PAIR p_L_0_0 16 3 1 0 0 0
PAIR p_M_0_0 16 3 1 1 0 0
PAIR p_R_0_0 16 3 1 2 0 0
PAIR p_L_0_1 16 3 1 0 0 1
PAIR p_M_0_1 16 3 1 1 0 1
PAIR p_R_0_1 16 3 1 2 0 1
PAIR p_L_0_2 16 3 1 0 0 2
PAIR p_M_0_2 16 3 1 1 0 2
PAIR p_R_0_2 16 3 1 2 0 2
PAIR p_L_0_3 16 3 1 0 0 3
PAIR p_M_0_3 16 3 1 1 0 3
PAIR p_R_0_3 16 3 1 2 0 3
PAIR p_L_0_4 16 3 1 0 0 4
PAIR p_M_0_4 16 3 1 1 0 4
PAIR p_R_0_4 16 3 1 2 0 4
PAIR p_L_0_5 16 3 1 0 0 5
PAIR p_M_0_5 16 3 1 1 0 5
PAIR p_R_0_5 16 3 1 2 0 5
PAIR p_L_0_6 16 3 1 0 0 6
PAIR p_M_0_6 16 3 1 1 0 6
PAIR p_R_0_6 16 3 1 2 0 6
PAIR p_L_0_7 16 3 1 0 0 7
PAIR p_M_0_7 16 3 1 1 0 7
PAIR p_R_0_7 16 3 1 2 0 7
PAIR p_L_0_8 16 3 1 0 0 8
PAIR p_M_0_8 16 3 1 1 0 8
PAIR p_R_0_8 16 3 1 2 0 8
PAIR p_L_0_9 16 3 1 0 0 9
PAIR p_M_0_9 16 3 1 1 0 9
PAIR p_R_0_9 16 3 1 2 0 9
PAIR p_L_0_10 16 3 1 0 0 10
PAIR p_M_0_10 16 3 1 1 0 10
PAIR p_R_0_10 16 3 1 2 0 10
PAIR p_L_0_11 16 3 1 0 0 11
PAIR p_M_0_11 16 3 1 1 0 11
PAIR p_R_0_11 16 3 1 2 0 11
PAIR p_L_0_12 16 3 1 0 0 12
PAIR p_M_0_12 16 3 1 1 0 12
PAIR p_R_0_12 16 3 1 2 0 12
PAIR p_L_0_13 16 3 1 0 0 13
PAIR p_M_0_13 16 3 1 1 0 13
PAIR p_R_0_13 16 3 1 2 0 13
PAIR p_L_0_14 16 3 1 0 0 14
PAIR p_M_0_14 16 3 1 1 0 14
PAIR p_R_0_14 16 3 1 2 0 14
PAIR p_L_0_15 16 3 1 0 0 15
PAIR p_M_0_15 16 3 1 1 0 15
PAIR p_R_0_15 16 3 1 2 0 15
PAIR p_L_1_0 16 3 1 0 1 0
PAIR p_M_1_0 16 3 1 1 1 0
PAIR p_R_1_0 16 3 1 2 1 0
PAIR p_L_1_1 16 3 1 0 1 1
PAIR p_M_1_1 16 3 1 1 1 1
PAIR p_R_1_1 16 3 1 2 1 1
PAIR p_L_1_2 16 3 1 0 1 2
PAIR p_M_1_2 16 3 1 1 1 2
PAIR p_R_1_2 16 3 1 2 1 2
PAIR p_L_1_3 16 3 1 0 1 3
PAIR p_M_1_3 16 3 1 1 1 3
